"SbjID","Condition","RunNo","TrialNo","TrialNo_modi","CondNo","Sender","Receiver","Context","Sender_Act","Computer_Pos","Arrow_Pos","Sender_Payoff","Sender_Payoff_Disp_Left","Sender_Payoff_Disp_Right","Sender_Kept","Sender_Bribe","Decision","Button","DT","Adv_Pos","Opt_Pos","Sender_Payoff_Final","Receiver_Payoff_Final","You_Payoff_Final","ITI","Zerotime","SessionStartTime","Info_Onset","Decision_Onset","Response_Onset","ITI_Onset","Warning_Onset","sender_inappro","sender_lie","you_conf","you_inappro","SbjID_fMRI","Age","Gender","Education","Major","Handedness","Scanning_date","Scanning_time","Gun_selected","Charity_selected","Task_selected","Run_selected","Trial_selected","Trial_self_selected","Trial_charity_selected","Task1_payoff_sbj","Task1_payoff_sender","Task1_payoff_receiver","Task2_payoff_sbj","Task2_payoff_charity","Task2_payoff_gun","Payoff_showup","Payoff_final","Mach_total","Mach_M","Mach_T","Mach_V","JSS_total","JSS_beneficiary","JSS_observer","JSS_perpetrator","JSS_victim","DonaPref_total"
1,"dyad_honesty",1,24,24,3,"K.Z.","A.P.","dyad","honesty","right","right",80,20,80,72,8,"accept","left",6929,2,1,72,20,8,3500,1116,24169,307732,309236,316165,316692,-999,0,50,0,50,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"dyad_honesty",1,25,25,3,"W.Y.","K.A.","dyad","honesty","left","left",96,96,4,19,77,"accept","left",5121,1,1,19,4,77,3500,1116,24169,320203,321707,326828,327357,-999,0,50,0,50,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"solo_lie",1,26,26,2,"H.F.","D.A.","solo","lie","right","left",96,96,4,10,86,"accept","left",4135,1,1,10,4,86,6000,1116,24169,330868,332389,336524,337053,-999,100,80,100,100,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"dyad_lie",1,27,27,4,"B.A.","F.W.","dyad","lie","right","left",88,88,12,35,53,"accept","left",5685,1,1,35,12,53,4000,1116,24169,343071,344575,350260,350794,-999,90,80,100,80,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"dyad_lie",1,28,28,4,"E.M.","A.Y.","dyad","lie","right","left",88,88,12,44,44,"accept","left",5381,1,1,44,12,44,6000,1116,24169,354806,356310,361691,362228,-999,90,80,100,80,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"dyad_honesty",1,29,29,3,"N.M.","C.L.","dyad","honesty","right","right",72,28,72,65,7,"reject","right",3917,2,1,0,28,0,7000,1116,24169,368246,369750,373667,374197,-999,0,50,0,50,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"dyad_honesty",1,30,30,3,"J.Z.","B.D.","dyad","honesty","right","right",72,28,72,36,36,"accept","left",4784,2,1,36,28,36,7000,1116,24169,381218,382723,387507,388038,-999,0,50,0,50,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"solo_honesty",1,31,31,1,"H.H.","C.B.","solo","honesty","right","right",96,4,96,58,38,"accept","left",5447,2,1,58,4,38,7000,1116,24169,395043,396547,401994,402532,-999,0,50,0,0,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"dyad_lie",1,32,32,4,"M.W.","M.Q.","dyad","lie","left","right",80,20,80,48,32,"accept","left",5097,2,1,48,20,32,4500,1116,24169,409553,411057,416154,416691,-999,90,80,100,80,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"solo_lie",1,33,33,2,"B.H.","P.H.","solo","lie","left","right",88,12,88,79,9,"reject","right",3949,2,1,0,88,0,6500,1116,24169,421204,422709,426658,427189,-999,100,80,100,100,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
